year,unemployment,fips
2019,2.3,08079
2019,3.4,08081
2019,4.2,08083
2019,3.1,08085
2019,2.6,08087
2019,4.1,08089
2019,2.9,08091
2019,2.5,08093
2019,1.6,08095
2019,3.1,08097
2019,2.6,08099
2019,4.1,08101
2019,3.7,08103
2019,4.1,08105
2019,2.2,08107
2019,4,08109
2019,3,08111
2019,2.8,08113
2019,2,08115
2019,1.8,08117
2019,3.1,08119
2019,2,08121
2019,2.5,08123
2019,1.6,08125
2019,3.6,09001
2019,3.9,09003
2019,3.5,09005
2019,3.2,09007
2019,3.9,09009
2019,3.6,09011
2019,3.3,09013
2019,4,09015
2019,4.2,10001
2019,3.7,10003
2019,3.8,10005
2019,5.5,11001
2019,2.9,12001
2019,3.1,12003
2019,3.9,12005
2019,3.1,12007
2019,3.2,12009
2019,3,12011
2019,4.1,12013
2019,3.7,12015
2019,4.8,12017
2019,3,12019
2019,3.1,12021
2019,3.2,12023
2019,3.5,12027
2019,3.8,12029
2019,3.3,12031
2019,3.2,12033
2019,3.8,12035
2019,3.5,12037
2019,4.1,12039
2019,3.4,12041
2019,3.9,12043
2019,4.8,12045
2019,4.1,12047
2019,5,12049
2019,5.8,12051
2019,4.2,12053
2019,4.5,12055
2019,3.1,12057
2019,3.5,12059
2019,3.8,12061
2019,3.6,12063
2019,3.3,12065
2019,3,12067
2019,3.2,12069
2019,3.1,12071
2019,3.1,12073
2019,3.7,12075
2019,3.6,12077
2019,3.8,12079
2019,3.1,12081
2019,3.8,12083
2019,3.1,12085
2019,2.4,12086
2019,2.1,12087
2019,2.9,12089
2019,2.7,12091
2019,3.5,12093
2019,2.9,12095
2019,3.3,12097
2019,3.3,12099
2019,3.5,12101
2019,3,12103
2019,3.7,12105
2019,4.3,12107
2019,2.6,12109
2019,3.9,12111
2019,3,12113
2019,3.1,12115
2019,2.9,12117
2019,4.6,12119
2019,3.4,12121
2019,3.6,12123
2019,3,12125
2019,3.4,12127
2019,2.9,12129
2019,2.8,12131
2019,3.4,12133
2019,3.9,13001
2019,3,13003
2019,3.5,13005
2019,4.7,13007
2019,4.2,13009
2019,2.7,13011
2019,2.8,13013
2019,3.3,13015
2019,5.5,13017
2019,4,13019
2019,3.9,13021
2019,5,13023
2019,4.1,13025
2019,3.4,13027
2019,3,13029
2019,3.7,13031
2019,5.1,13033
2019,3.4,13035
2019,3.6,13037
2019,3.6,13039
2019,3,13043
2019,3.4,13045
2019,3,13047
2019,3.8,13049
2019,3.3,13051
2019,4.6,13053
2019,5,13055
2019,2.7,13057
2019,3.6,13059
2019,6.9,13061
2019,4.2,13063
2019,3.9,13065
2019,3,13067
2019,3.9,13069
2019,3.2,13071
2019,3,13073
2019,3.4,13075
2019,2.9,13077
2019,3.6,13079
2019,3.9,13081
2019,3.3,13083
2019,2.8,13085
2019,3.8,13087
2019,3.4,13089
2019,5.4,13091
2019,3.8,13093
2019,4.7,13095
2019,3.5,13097
2019,3.9,13099
2019,2.8,13101
2019,2.9,13103
2019,4,13105
2019,5.3,13107
2019,3.4,13109
2019,3.3,13111
2019,3,13113
2019,3.8,13115
2019,2.7,13117
2019,3.5,13119
