key,value
16011,1621
16013,897
16015,83
16017,508
16019,4591
16021,173
16023,103
16025,41
16027,10111
16029,293
16031,1419
16033,40
16035,145
16037,96
16039,543
16041,374
16043,486
16045,436
16047,604
16049,376
16051,994
16053,1142
16055,4253
16057,962
16059,262
16061,84
16063,213
16065,2644
16067,1220
16069,895
16071,56
80016,0
16073,399
16075,1145
16077,369
16079,281
16081,289
16083,4200
90016,0
16085,119
16087,471
17001,2071
17003,145
17005,525
17007,1998
17009,122
17011,955
17013,66
17015,457
17017,470
17019,6462
17021,868
17023,317
17025,330
17027,1856
17029,2058
17031,183649
17033,668
17035,311
17039,275
17037,2524
17041,742
17043,24240
17045,165
17047,112
17049,1266
17051,719
17053,211
17055,1059
17057,590
17059,112
17061,316
17063,1047
17065,139
17067,331
17069,56
17071,132
17073,869
17075,527
17077,1611
17079,275
17081,939
17083,482
17085,547
17087,385
17089,17738
17091,3587
17093,2869
17095,1382
17099,2584
17097,21608
17101,355
17103,787
17105,707
17107,622
17115,3445
17117,843
17119,7440
17121,1147
17123,170
17125,342
17127,161
17109,799
17111,6815
17113,4324
17129,188
17131,299
17133,1000
17135,656
17137,999
17139,453
17141,1317
80017,1
17143,4830
17145,478
17147,273
17149,406
17151,43
17153,246
17155,98
17157,1338
17159,342
17161,4263
17165,613
17167,4322
17169,98
17171,112
17173,732
17163,8173
17175,94
17177,1129
17179,2853
90017,4770
17181,802
17183,1830
17185,243
17187,541
17189,332
17191,519
17193,279
17195,1646
17197,19516
17199,1979
17201,10930
17203,692
18001,633
18003,9123
18005,1532
18007,116
18009,255
18011,1348
18013,152
18015,364
18017,2344
18019,3188
18021,492
18023,978
18025,169
18027,960
18033,824
18029,1097
18031,562
18035,3263
18037,1557
18039,9783
18041,849
18043,1933
18045,364
18047,396
18049,415
18051,982
18053,1412
18055,608
18057,6697
18059,1302
18061,835
18063,3532
18065,1405
18067,1762
18069,498
18071,1254
18073,739
18075,381
18077,416
18079,402
18081,3438
18083,892
18085,2195
18087,851
18091,2488
18089,15074
18093,1042
18095,2703
18097,26807
18099,1549
18101,207
18103,720
18105,3450
18107,666
18109,1030
18111,244
18113,1293
18115,145
18117,436
80018,0
18119,225
18121,272
18123,421
18125,370
18127,3723
18129,805
18131,187
18133,800
18135,439
18137,517
18139,273
18143,579
18145,957
18147,443
18141,10092
18149,492
18151,705
18153,481
18155,107
18157,4246
18159,294
