key,percent_black,percent_white,percent_hispanic,percent_bachelors,population,median_income
27033,0.007474498768906085,0.8653710868800563,0.07421737601125572,0.212,11372,53354.0
27139,0.04073319755600815,0.81776776497503,0.05074212538013001,0.39299999999999996,143372,97744.0
27039,0.0023807210183655622,0.9226508599747352,0.050092313672140704,0.244,20582,71669.0
27157,0.005767441860465117,0.9476279069767441,0.028511627906976745,0.21899999999999997,21500,65138.0
27117,0.014044637996733805,0.8857920522591182,0.06575939031028852,0.214,9185,52309.0
27035,0.007501370292067966,0.9503249549761178,0.014454623756949338,0.243,63855,54508.0
27107,0.005336179295624333,0.8958682726025309,0.05016008537886873,0.184,6559,55206.0
27171,0.013989227466194583,0.9269652340954462,0.028679046291762402,0.284,132745,81881.0
27103,0.03149513068703194,0.8904182577035787,0.04448983216410621,0.326,33783,65027.0
27041,0.004757680832190953,0.9606214552589845,0.015966454318200145,0.254,37203,60676.0
27051,0.001684068710003368,0.9528460761199057,0.02256652071404513,0.19399999999999998,5938,55912.0
27069,0.008761816924141111,0.9561909153792945,0.020982245792022135,0.239,4337,57112.0
27079,0.00839795590179752,0.9146982096272737,0.05871421934746096,0.22399999999999998,27983,67451.0
27087,0.005085361423901199,0.4576825281511079,0.04159099164547766,0.122,5506,44537.0
27025,0.012772488899446342,0.9361375555027683,0.020940303689221042,0.205,54727,80409.0
27127,0.007762050746852782,0.8728719587763355,0.033265931772226205,0.18600000000000003,15331,53230.0
27173,0.006282934738548845,0.8981556546412647,0.04539927036886907,0.161,9868,56943.0
27153,0.0061374795417348605,0.9145662847790508,0.05724222585924713,0.155,24440,52872.0
27007,0.01136240431944836,0.7217078300843507,0.023071752282238654,0.281,46117,47410.0
27013,0.03466421398630922,0.883387111365761,0.03475468170441181,0.336,66322,55861.0
27055,0.009912661415635213,0.961903230991802,0.010823554626801693,0.24,18663,58729.0
27073,0.008415768492543925,0.9524582902701905,0.021999114129632364,0.191,6773,52199.0
27077,0.00026253609871357313,0.9304279338409032,0.01680231031766868,0.193,3809,49068.0
27111,0.013829493723272175,0.927679679955856,0.03353910884259898,0.251,57992,57131.0
27161,0.020309426338454995,0.8929236004040619,0.05896113562656175,0.205,18809,55612.0
27137,0.014914034386245502,0.9123900439824071,0.01641343462614954,0.287,200080,53344.0
27003,0.058995886953092845,0.8202894963316457,0.04412386919992747,0.297,347431,79923.0
27145,0.05794578463068888,0.8691612623470371,0.032955190378716866,0.278,156819,60606.0
27081,0.0026283511477133343,0.9642544243910987,0.019099351673383565,0.184,5707,52301.0
27089,0.0038330494037478705,0.9345187393526405,0.04418654173764906,0.19,9392,58723.0
27095,0.004236629353233831,0.8911691542288557,0.02347636815920398,0.153,25728,53888.0
27163,0.04364491921189655,0.8323484014100909,0.040455239877307876,0.43200000000000005,253317,92376.0
27017,0.017698368036015755,0.8817388857625211,0.01758581879572313,0.225,35540,60390.0
27065,0.0034991252186953262,0.950449887528118,0.015496125968507872,0.146,16004,53300.0
27071,0.004824422651059791,0.932853527364758,0.003242644732679532,0.17600000000000002,12644,47129.0
27125,0.0029940119760479044,0.9219061876247505,0.03717564870259481,0.16899999999999998,4008,56588.0
27097,0.005341588515584692,0.9579956903092658,0.01660141430695924,0.171,32949,54962.0
27131,0.05356952786436554,0.8286322511974454,0.0794039382650346,0.275,65765,65758.0
27147,0.030319555022357947,0.8680881230232305,0.07650779801505071,0.25,36676,62731.0
27001,0.005620815965643552,0.9396235947960085,0.013515220411772135,0.174,15834,45989.0
27043,0.0017990788716177317,0.9122049510650547,0.0667818077144502,0.17800000000000002,13896,52286.0
27101,0.005866155872141746,0.9337962408715431,0.03830958936908895,0.18899999999999997,8353,57500.0
27067,0.048197290074546394,0.8096253926578836,0.11901636269867316,0.23399999999999999,42658,59089.0
27075,0.007380073800738007,0.9543949285646702,0.01532784558614817,0.298,10569,59516.0
27133,0.011367258047381281,0.9380643790502496,0.029958567937958144,0.23,9413,59890.0
27143,0.008516630901287554,0.8858637339055794,0.08892167381974249,0.16699999999999998,14912,62761.0
27155,0.006592747977225052,0.8987114174408151,0.027270002996703627,0.17,3337,48784.0
27005,0.005507357948657211,0.8642998845231398,0.019956770201048173,0.245,33773,59278.0
27053,0.1305000979378022,0.6916302839872502,0.06901296502244475,0.49200000000000005,1235478,74113.0
27015,0.007377731942406093,0.936099321724644,0.042679782634564276,0.204,25211,57728.0
27023,0.006827643630308077,0.8782681099084096,0.06869275603663613,0.191,12010,54552.0
27029,0.003858374943259192,0.848161597821153,0.020540172492056287,0.161,8812,46291.0
27057,0.007381842584603586,0.9301600997028089,0.020563704342824275,0.272,20862,55472.0
27059,0.004875044901729358,0.9401908964950993,0.019269256427361832,0.177,38974,72473.0
27091,0.003205770386696053,0.9328290923662592,0.04262672811059908,0.201,19964,53915.0
27099,0.03598303116004242,0.7965001767587495,0.11289833846775416,0.217,39602,53665.0
27115,0.022657832400700333,0.8943664389440077,0.02869992104088709,0.145,29129,49138.0
27109,0.05921667265540783,0.8055335968379447,0.0483585404893346,0.44,153065,74880.0
27159,0.01077238751282427,0.9443793052909277,0.018833357760515902,0.136,13646,45860.0
27009,0.033233615726891076,0.9065335981296664,0.022700419819502753,0.226,39779,56357.0
27047,0.013365655506781104,0.8575312848063945,0.09624582323265413,0.16699999999999998,30526,52447.0
27085,0.005582693649685973,0.9117096999302163,0.0603768318213538,0.179,35825,61275.0
27121,0.0037340619307832425,0.9622040072859745,0.013570127504553733,0.21899999999999997,10980,58132.0
27149,0.013593622240392478,0.8819501226492232,0.056623058053965655,0.293,9784,58363.0
